score,rec,score_total,recommendation,rationale,url,titulo,ubicacion,precio,m2,habitaciones,baños,planta,ascensor,plataforma,tipo,estado,año
78.0,visit,78.0,worth_visit,,https://www.idealista.com/inmueble/93653631/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,Piso en venta en Calle Periodista Juanito Cortés,"Olletas - Sierra Blanquilla, Málaga",199000.0,75.0,1.0,1.0,,,idealista,Piso,Segunda mano/buen estado,2009.0
75.0,visit,75.0,worth_visit,,https://www.idealista.com/inmueble/111220661/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,Piso en venta en Calle Ingeniero la Cierva,"La Luz, Málaga",190000.0,80.0,2.0,1.0,,,idealista,Piso,Segunda mano/para reformar,
75.0,visit,75.0,worth_visit,,https://www.idealista.com/inmueble/111400740/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,Piso en venta en Calle Héroe de Sostoa,"El Torcal, Málaga",235000.0,65.0,2.0,1.0,Planta 7ª exterior con ascensor,Sí,idealista,Piso,Segunda mano/buen estado,
75.0,visit,75.0,worth_visit,,https://www.pisos.com/comprar/casa-este_el_palo29018-55931696823_104700/,"Casas en El Palo, Distrito Este. Málaga Capital","El Palo, Distrito Este. Málaga Capital",,,,,,,pisos,Casa,,
75.0,visit,75.0,worth_visit,,https://www.idealista.com/inmueble/111133940/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,Casa o chalet independiente en venta en Los Castillejos - La Trinidad,"Bailén - Miraflores, Málaga",180000.0,52.0,1.0,1.0,,,idealista,Casa,Segunda mano/buen estado,
75.0,visit,75.0,worth_visit,,https://www.pisos.com/comprar/piso-las_delicias_giron_25_anos_de_paz29003-61745348897_996965/?from_map=true,Piso en venta en Calle Alberto Insúa,Calle Alberto Insúa,190000.0,60.0,,1.0,3ª planta,,pisos,Piso,En buen estado,
75.0,visit,75.0,worth_visit,,https://www.idealista.com/inmueble/109702033/,"Chalet pareado en venta en Calle Luque, 4","Olletas - Sierra Blanquilla, Málaga",205000.0,74.0,3.0,1.0,,,idealista,Casa,Segunda mano/buen estado,
75.0,visit,75.0,worth_visit,,https://www.yaencontre.com/venta/piso/inmueble-41382-109653443,Piso en venta en La Unión - Cruz de Humilladero - Los Tilos de 3 habitaciones con ascensor,La Unión - Cruz,140500.0,81.0,3.0,1.0,planta 6ª,Sí,yaencontre,Piso,buen estado,1973.0
75.0,visit,75.0,worth_visit,,https://www.idealista.com/inmueble/111303826/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,Piso en venta en Calle Santa Marta,"Cruz del Humilladero - Los Tilos, Málaga",199900.0,76.0,3.0,1.0,Planta 5ª exterior con ascensor,Sí,idealista,Piso,Segunda mano/buen estado,
75.0,visit,75.0,worth_visit,,https://www.yaencontre.com/venta/piso/inmueble-87520-111472809,Venta de piso en Parque Ayala - Jardín de la Abadía - Huelín de 2 habitaciones con aire acondicionado y ascensor,Parque Ayala - Jardín,165000.0,64.0,2.0,1.0,planta 11ª,Sí,yaencontre,Piso,buen estado,1969.0
75.0,visit,75.0,worth_visit,,https://www.idealista.com/inmueble/111133940/,Casa o chalet independiente en venta en Los Castillejos - La Trinidad,"Bailén - Miraflores, Málaga",180000.0,52.0,1.0,1.0,,,idealista,Casa,Segunda mano/buen estado,
75.0,visit,75.0,worth_visit,,https://www.yaencontre.com/venta/piso/inmueble-69029-110144529,Venta de piso en avenida De Andalucía de 2 habitaciones con balcón y aire acondicionado,avenida De Andalucía,210000.0,70.0,2.0,1.0,planta 1ª,No,yaencontre,Piso,buen estado,
75.0,visit,75.0,worth_visit,,https://www.idealista.com/inmueble/111482962/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,Casa o chalet independiente en venta en Olletas - Sierra Blanquilla,"Centro, Málaga",198000.0,72.0,1.0,1.0,,,idealista,Casa,Segunda mano/buen estado,
75.0,visit,75.0,worth_visit,,https://www.idealista.com/inmueble/97871188/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,"Ático en venta en Avenida manantiales, 24","Manantiales - Estación de Autobuses, Torremolinos",145000.0,33.0,1.0,1.0,Planta 12ª exterior con ascensor,Sí,idealista,Piso,Segunda mano/buen estado,
75.0,visit,75.0,worth_visit,,https://www.idealista.com/inmueble/104938790/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,"Alquiler de piso en Calle Pintor José Gatner, 5","Carranque - Haza Cuevas, Málaga",750.0,65.0,2.0,1.0,Planta 1ª exterior sin ascensor,No,idealista,Piso,Segunda mano/buen estado,
75.0,visit,75.0,worth_visit,,https://www.idealista.com/inmueble/103770015/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,Alquiler de piso en Calle Mármoles,"Perchel norte, Málaga",650.0,29.0,1.0,1.0,Planta 1ª interior con ascensor,Sí,idealista,Piso,Segunda mano/buen estado,
